Equipment Name,Total Failures,Observation Years
Air Compressor,6,70
Air-Conditioning Systems,206,70
Airfan Equipment,5,70
Alarms Monitoring System,62,70
Anchor Arrangement,48,70
Batteries & Chargers,55,70
Bilge System,28,70
Black and Grey Water System,26,70
Bow Thruster,137,70
CCTV,63,70
Cigarette Lighter,31,70
Coldroom Refrigeration Systems,70,70
Communication System,257,70
Cooling System,14,70
Davit Crane,66,70
Deck Accessories,63,70
Deck Sheath,1,70
Deck Structure,41,70
Door,44,70
Electrical Equipment,91,70
electrical Instrument,2,70
Embarkation,40,70
Emergency Shutdown System,2,70
Engine Room Ventilation Systems,25,70
Fenders,119,70
Firefighting Equipment,249,70
Floor Plate,12,70
Forepeak Tank,4,70
FRC,68,70
Fresh Water Maker System,9,70
Fresh Water Tank,10,70
"Fresh Water, Domestic Systems",69,70
Fuel Oil System,70,70
Fuel Oil Tanks,20,70
Furniture,159,70
Galley Equipment,219,70
Gas Detector Equipment,10,70
GMDSS Radio Installation,57,70
Group Starter,21,70
Hand tool,2,70
Harness,15,70
Hatch Cover,1,70
Hull,1,70
Lashing Equipment,5,70
Laundry Equipment,52,70
Lifesaving Appliances,455,70
Lighting Equipment,59,70
Main Engines,324,70
Main Switch Board,34,70
Miscellaneous Tank,7,70
Mooring Equipment,16,70
Navigation Equipment,144,70
Office Equipment,52,70
Oil Dispersant System,22,70
Oily Water Separator,8,70
Pilot Ladder,10,70
Portable/fixed,8,70
Power Generation,145,70
Propulsion Systems,33,70
Pumps,18,70
Reduction Gear,16,70
Rudders,9,70
Sea Chest & Bilge Well,2,70
Sea Water Cooling System,161,70
Seats/Sofa/Cushion,304,70
Sewage,1,70
Steering Gear,27,70
Toilet Equipment,62,70
TV,20,70
Valves,5,70
Ventilation,11,70
Watertight Door,27,70
Window Wiper,40,70
Windows,12,70
Wooden Sheath,22,70
